#TYPE Selected.System.Diagnostics.Eventing.Reader.EventLogRecord,,,,,,,,,,,,,,,,,,,,,,,,,
Id,Version,Qualifiers,Level,Task,Opcode,Keywords,RecordId,ProviderName,ProviderId,LogName,ProcessId,ThreadId,MachineName,UserId,TimeCreated,ActivityId,RelatedActivityId,ContainerLog,MatchedQueryIds,Bookmark,LevelDisplayName,OpcodeDisplayName,TaskDisplayName,KeywordsDisplayNames,Properties
10,3,,4,10,0,-9.22337E+18,238376,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,1560,2316,alice.insecurebank.local,S-1-5-18,6/21/2019 15:35,,,c:\users\myuser\desktop\evtxsample\sysmon_10_11_outlfank_dumpert_and_andrewspecial_memdump.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
11,2,,4,11,0,-9.22337E+18,238375,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,1560,2316,alice.insecurebank.local,S-1-5-18,6/21/2019 15:35,,,c:\users\myuser\desktop\evtxsample\sysmon_10_11_outlfank_dumpert_and_andrewspecial_memdump.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
10,3,,4,10,0,-9.22337E+18,238374,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,1560,2316,alice.insecurebank.local,S-1-5-18,6/21/2019 15:35,,,c:\users\myuser\desktop\evtxsample\sysmon_10_11_outlfank_dumpert_and_andrewspecial_memdump.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,238373,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,1560,2316,alice.insecurebank.local,S-1-5-18,6/21/2019 15:35,,,c:\users\myuser\desktop\evtxsample\sysmon_10_11_outlfank_dumpert_and_andrewspecial_memdump.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
13,2,,4,13,0,-9.22337E+18,6625,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,2032,2420,IEWIN7,S-1-5-18,5/29/2019 7:09,,,c:\users\myuser\desktop\evtxsample\persistence_startup_usershellstartup_folder_changed_sysmon_13.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,6414,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,548,2444,IEWIN7,S-1-5-18,5/28/2019 10:14,,,c:\users\myuser\desktop\evtxsample\sysmon_lolbin_bohops_vshadow_exec.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,6413,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,548,2444,IEWIN7,S-1-5-18,5/28/2019 10:14,,,c:\users\myuser\desktop\evtxsample\sysmon_lolbin_bohops_vshadow_exec.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,6411,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,548,2444,IEWIN7,S-1-5-18,5/28/2019 10:14,,,c:\users\myuser\desktop\evtxsample\sysmon_lolbin_bohops_vshadow_exec.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,6410,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,548,2444,IEWIN7,S-1-5-18,5/28/2019 10:13,,,c:\users\myuser\desktop\evtxsample\sysmon_lolbin_bohops_vshadow_exec.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
1,5,,4,1,0,-9.22337E+18,6408,Microsoft-Windows-Sysmon,5770385f-c22a-43e0-bf4c-06f5698ffbd9,Microsoft-Windows-Sysmon/Operational,548,2444,IEWIN7,S-1-5-18,5/28/2019 10:13,,,c:\users\myuser\desktop\evtxsample\sysmon_lolbin_bohops_vshadow_exec.evtx,System.Int32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
